datetime,temperature_C,irradiance_kWh_m2
01/01/2024,22.24206926891259,0.0
01/01/2024,20.577890746498014,1.116564642449588
01/01/2024,19.95420303794775,2.96463739260847
01/01/2024,23.31457235137251,3.6935745456067233
01/02/2024,23.80776060886543,0.0
01/02/2024,18.577900343081275,1.0596062797560504
01/02/2024,19.1633656860841,2.4618043728413594
01/02/2024,25.656877924687066,3.495249411496933
01/03/2024,24.34936700167889,0.0
01/03/2024,18.35841289441544,0.7173833233795065
01/03/2024,20.58381499189761,2.7901395881411033
01/03/2024,25.42006938439121,3.1050412402955057
01/04/2024,22.447902479624307,0.0
01/04/2024,18.780933790884454,0.797207277
01/04/2024,21.416912288534725,2.967646228767779
01/04/2024,23.632083802018816,3.668501637237682
01/05/2024,24.668955274241988,0.0
01/05/2024,18.23839871109103,1.1697993465566559
01/05/2024,19.655857592085624,2.6207900016080936
01/05/2024,25.08738036072793,3.473867776562706
01/06/2024,22.849575589959834,0.0
01/06/2024,17.777661895211786,0.7284445656416862
01/06/2024,20.51349652226158,2.387587554269891
01/06/2024,25.195688253648296,3.4301545166027068
01/07/2024,22.470982801501677,0.0
01/07/2024,18.066451866942124,1.0488914543905734
01/07/2024,21.32777064245495,2.4461797890900607
01/07/2024,25.26645818636733,3.3524094886386067
01/08/2024,23.27019494744309,0.0
01/08/2024,19.54496574822511,1.0649302905
01/08/2024,21.268068094358185,2.8025053234744104
01/08/2024,25.37980461866215,3.7915635589438157
01/09/2024,23.58750149857223,0.0
01/09/2024,20.549744125897394,1.0004517922197842
01/09/2024,19.98818565168295,2.4970512524101434
01/09/2024,25.006767172565507,3.022147625269615
01/10/2024,24.62958821337054,0.0
01/10/2024,19.000093165113476,0.8063573963936317
01/10/2024,19.91544924252551,2.632160011891728
01/10/2024,24.122809006194824,3.6082500637753756
01/11/2024,23.75527118241441,0.0
01/11/2024,17.74298011137562,1.0055153984375622
01/11/2024,20.43766923317144,2.762659912636004
01/11/2024,24.095988533985985,3.2305547086517135
01/12/2024,22.95355502647865,0.0
01/12/2024,18.662043538653677,1.3027854749999999
01/12/2024,21.50981440991457,2.271909921574433
01/12/2024,24.35210012833214,3.754444391621348
01/13/2024,21.88142066960716,0.0
01/13/2024,18.223903443084982,0.6958875725666904
01/13/2024,21.775060051534744,2.8239452007465013
01/13/2024,24.154924067617213,4.040382544447581
01/14/2024,24.306030191616998,0.0
01/14/2024,17.854432640400447,1.047829047
